time,closedPnL,leverage,size,Date,timestamp,value,classification
2024-03-12 14:39:00,173.291472,144.09,1301.13,2024-03-12,1710221400,81,Extreme Greed
2024-03-12 14:39:00,17.979787,14.95,135.0,2024-03-12,1710221400,81,Extreme Greed
2024-03-12 14:42:00,0.0,7.47,1755.67,2024-03-12,1710221400,81,Extreme Greed
2024-03-12 14:42:00,0.0,9.02,2120.06,2024-03-12,1710221400,81,Extreme Greed
2024-03-12 14:42:00,0.0,7.72,1814.51,2024-03-12,1710221400,81,Extreme Greed
2024-03-12 14:42:00,0.0,3.66,860.43,2024-03-12,1710221400,81,Extreme Greed
2024-03-12 14:42:00,0.0,15.45,3632.14,2024-03-12,1710221400,81,Extreme Greed
2024-03-12 14:42:00,0.0,156.68,36840.17,2024-03-12,1710221400,81,Extreme Greed
2024-03-12 14:44:00,0.0,7.89,1856.12,2024-03-12,1710221400,81,Extreme Greed
2024-03-12 14:44:00,0.0,9.07,2133.99,2024-03-12,1710221400,81,Extreme Greed
2024-03-12 14:44:00,0.0,7.66,1802.24,2024-03-12,1710221400,81,Extreme Greed
2024-03-12 14:44:00,0.0,13.17,3100.88,2024-03-12,1710221400,81,Extreme Greed
2024-03-12 14:44:00,0.0,13.17,3101.27,2024-03-12,1710221400,81,Extreme Greed
2024-03-12 14:44:00,0.0,3.19,751.18,2024-03-12,1710221400,81,Extreme Greed
2024-03-12 14:44:00,0.0,9.83,2314.97,2024-03-12,1710221400,81,Extreme Greed
2024-03-12 14:44:00,0.0,13.16,3099.31,2024-03-12,1710221400,81,Extreme Greed
2024-03-12 14:44:00,0.0,2.42,569.98,2024-03-12,1710221400,81,Extreme Greed
2024-03-12 14:44:00,0.0,44.5,10481.53,2024-03-12,1710221400,81,Extreme Greed
2024-03-12 14:44:00,0.0,13.16,3099.84,2024-03-12,1710221400,81,Extreme Greed
2024-03-12 14:44:00,0.0,13.16,3100.1,2024-03-12,1710221400,81,Extreme Greed
2024-03-12 14:44:00,0.0,16.61,3913.15,2024-03-12,1710221400,81,Extreme Greed
2024-03-12 14:44:00,0.0,17.31,4078.06,2024-03-12,1710221400,81,Extreme Greed
2024-03-12 14:44:00,0.0,115.7,27264.71,2024-03-12,1710221400,81,Extreme Greed
2024-03-12 15:22:00,124.826134,100.0,907.56,2024-03-12,1710221400,81,Extreme Greed
2024-03-12 15:22:00,266.532371,213.54,1937.98,2024-03-12,1710221400,81,Extreme Greed
2024-03-12 15:22:00,124.816134,100.0,907.55,2024-03-12,1710221400,81,Extreme Greed
2024-03-12 15:22:00,33.013868,26.45,240.05,2024-03-12,1710221400,81,Extreme Greed
2024-03-12 15:22:00,179.80434,144.09,1307.65,2024-03-12,1710221400,81,Extreme Greed
2024-03-12 15:22:00,37.43584,30.0,272.26,2024-03-12,1710221400,81,Extreme Greed
2024-03-12 15:22:00,13.442265,10.84,98.29,2024-03-12,1710221400,81,Extreme Greed
2024-03-12 15:22:00,3.716884,3.0,27.2,2024-03-12,1710221400,81,Extreme Greed
2024-03-12 15:22:00,178.493121,144.09,1306.33,2024-03-12,1710221400,81,Extreme Greed
2024-03-12 15:22:00,47.804608,38.6,349.94,2024-03-12,1710221400,81,Extreme Greed
2024-03-12 15:22:00,101.447367,82.02,743.45,2024-03-12,1710221400,81,Extreme Greed
2024-03-12 15:22:00,120.841353,97.7,885.57,2024-03-12,1710221400,81,Extreme Greed
2024-03-12 15:22:00,120.928211,98.0,888.01,2024-03-12,1710221400,81,Extreme Greed
2024-03-12 15:22:00,101.193105,82.02,743.19,2024-03-12,1710221400,81,Extreme Greed
2024-03-12 15:22:00,100.930641,82.02,742.93,2024-03-12,1710221400,81,Extreme Greed
2024-03-12 15:22:00,177.196311,144.09,1305.04,2024-03-12,1710221400,81,Extreme Greed
2024-03-12 15:22:00,100.668177,82.02,742.67,2024-03-12,1710221400,81,Extreme Greed
2024-03-12 15:22:00,36.81784,30.0,271.64,2024-03-12,1710221400,81,Extreme Greed
